# step , loss function , Y0 , learning rate , running time
0.000000000000000000e+00,5.389062520096338631e+03,3.319879819662203690e-01,1.000000000000000000e+00,9.769752502441406250e+01
1.000000000000000000e+00,5.103631346791926262e+03,1.331987979906747999e+00,1.000000000000000000e+00,9.937453007698059082e+01
2.000000000000000000e+00,4.557993562364467834e+03,2.330958838635876607e+00,1.000000000000000000e+00,1.010013310909271240e+02
3.000000000000000000e+00,4.061350454129221816e+03,3.326654908157056223e+00,1.000000000000000000e+00,1.026055810451507568e+02
4.000000000000000000e+00,3.797780476313755116e+03,4.317429624028272350e+00,1.000000000000000000e+00,1.042366180419921875e+02
5.000000000000000000e+00,3.220767775234483452e+03,5.302881187290657827e+00,1.000000000000000000e+00,1.058319780826568604e+02
6.000000000000000000e+00,2.946981880118683875e+03,6.279454819372936925e+00,1.000000000000000000e+00,1.074280419349670410e+02
7.000000000000000000e+00,2.888746692049776357e+03,7.245970383049157526e+00,1.000000000000000000e+00,1.090136601924896240e+02
8.000000000000000000e+00,2.390454986738121534e+03,8.201756026980469017e+00,1.000000000000000000e+00,1.106237082481384277e+02
9.000000000000000000e+00,2.098972302241329999e+03,9.144610904964524778e+00,1.000000000000000000e+00,1.122326591014862061e+02
1.000000000000000000e+01,3.250448539944208278e+03,1.006607719236800769e+01,1.000000000000000000e+00,1.138454661369323730e+02
1.100000000000000000e+01,1.901110229974914546e+03,1.098298852024403160e+01,1.000000000000000000e+00,1.154878389835357666e+02
1.200000000000000000e+01,1.969024662894676112e+03,1.187907326955217613e+01,1.000000000000000000e+00,1.171051032543182373e+02
1.300000000000000000e+01,2.183954582116772599e+03,1.275122798112546008e+01,1.000000000000000000e+00,1.186989331245422363e+02
1.400000000000000000e+01,1.805221021508654303e+03,1.360307314965648118e+01,1.000000000000000000e+00,1.203076128959655762e+02
1.500000000000000000e+01,2.000347362629684540e+03,1.442841512155756512e+01,1.000000000000000000e+00,1.219331641197204590e+02
1.600000000000000000e+01,2.573401683646161473e+03,1.523745932990105345e+01,1.000000000000000000e+00,1.235643589496612549e+02
1.700000000000000000e+01,2.653733738724672548e+03,1.603574477140028520e+01,1.000000000000000000e+00,1.252011609077453613e+02
1.800000000000000000e+01,1.975305964406800740e+03,1.681683651587898964e+01,1.000000000000000000e+00,1.268079891204833984e+02
1.900000000000000000e+01,1.510055045066655566e+03,1.758417380263141894e+01,1.000000000000000000e+00,1.284122712612152100e+02
2.000000000000000000e+01,2.160206505669330454e+03,1.832446546252353414e+01,1.000000000000000000e+00,1.300249481201171875e+02
2.100000000000000000e+01,2.296872146407044511e+03,1.904747774416838269e+01,1.000000000000000000e+00,1.316268138885498047e+02
2.200000000000000000e+01,1.897830690020574593e+03,1.975918142877746675e+01,1.000000000000000000e+00,1.332344770431518555e+02
2.300000000000000000e+01,1.691368422441663142e+03,2.046135334764241520e+01,1.000000000000000000e+00,1.348348400592803955e+02
2.400000000000000000e+01,1.502599732253047478e+03,2.115518551954388826e+01,1.000000000000000000e+00,1.364335501194000244e+02
2.500000000000000000e+01,1.500950305112974092e+03,2.181100142526395302e+01,1.000000000000000000e+00,1.380260941982269287e+02
2.600000000000000000e+01,1.603208433780996984e+03,2.245123586927679327e+01,1.000000000000000000e+00,1.396276359558105469e+02
2.700000000000000000e+01,1.399248846293255838e+03,2.305856508922976644e+01,1.000000000000000000e+00,1.412141361236572266e+02
2.800000000000000000e+01,2.011698098145694985e+03,2.363481053754767913e+01,1.000000000000000000e+00,1.428248729705810547e+02
2.900000000000000000e+01,1.277558103237251316e+03,2.421746495532766374e+01,1.000000000000000000e+00,1.444310681819915771e+02
3.000000000000000000e+01,1.649760210497892785e+03,2.478061525984077562e+01,1.000000000000000000e+00,1.460273389816284180e+02
3.100000000000000000e+01,1.826585592549794910e+03,2.533736158132140304e+01,1.000000000000000000e+00,1.476337800025939941e+02
3.200000000000000000e+01,1.910195942990645108e+03,2.589321685995545153e+01,1.000000000000000000e+00,1.492409570217132568e+02
3.300000000000000000e+01,1.439562491422402900e+03,2.643246906648371919e+01,1.000000000000000000e+00,1.509174258708953857e+02
3.400000000000000000e+01,1.257510599680595078e+03,2.692310070443940262e+01,1.000000000000000000e+00,1.525831942558288574e+02
3.500000000000000000e+01,1.203425428989949978e+03,2.737752725553197664e+01,1.000000000000000000e+00,1.541942741870880127e+02
3.600000000000000000e+01,1.585285066739021659e+03,2.783612170176061795e+01,1.000000000000000000e+00,1.558024981021881104e+02
3.700000000000000000e+01,1.529694883391885469e+03,2.828571143638020047e+01,1.000000000000000000e+00,1.574166631698608398e+02
3.800000000000000000e+01,1.322808813971266773e+03,2.872121175025528572e+01,1.000000000000000000e+00,1.590277292728424072e+02
3.900000000000000000e+01,1.209971305077843226e+03,2.916743482306459612e+01,1.000000000000000000e+00,1.606305191516876221e+02
4.000000000000000000e+01,1.332179299904837308e+03,2.961165942994773204e+01,1.000000000000000000e+00,1.622562291622161865e+02
4.100000000000000000e+01,1.372097408309911771e+03,3.007850690544246319e+01,1.000000000000000000e+00,1.638760240077972412e+02
4.200000000000000000e+01,1.690903834146708505e+03,3.055178443035944724e+01,1.000000000000000000e+00,1.654776430130004883e+02
4.300000000000000000e+01,1.019653015488185588e+03,3.104168811688358431e+01,1.000000000000000000e+00,1.670748240947723389e+02
4.400000000000000000e+01,1.303872935704269139e+03,3.154271116423171151e+01,1.000000000000000000e+00,1.686599092483520508e+02
4.500000000000000000e+01,9.044044736461323737e+02,3.204544705398345172e+01,1.000000000000000000e+00,1.702525959014892578e+02
4.600000000000000000e+01,1.039719514532613630e+03,3.253057434766790124e+01,1.000000000000000000e+00,1.718770549297332764e+02
4.700000000000000000e+01,8.839296470451821506e+02,3.301941790205086136e+01,1.000000000000000000e+00,1.735198788642883301e+02
4.800000000000000000e+01,1.010639069402644168e+03,3.349601739681028789e+01,1.000000000000000000e+00,1.751196238994598389e+02
4.900000000000000000e+01,1.034217679403915099e+03,3.397571271184361308e+01,1.000000000000000000e+00,1.767243320941925049e+02
5.000000000000000000e+01,9.871479843705944859e+02,3.445722715451135798e+01,1.000000000000000000e+00,1.783240702152252197e+02
5.100000000000000000e+01,1.135832401707166810e+03,3.494863959746158599e+01,1.000000000000000000e+00,1.799156889915466309e+02
5.200000000000000000e+01,8.596307764491032231e+02,3.542761674734163080e+01,1.000000000000000000e+00,1.815338530540466309e+02
5.300000000000000000e+01,9.429851830637564944e+02,3.590612985561045178e+01,1.000000000000000000e+00,1.831655192375183105e+02
5.400000000000000000e+01,6.042843220176672503e+02,3.639874930119682972e+01,1.000000000000000000e+00,1.848102478981018066e+02
5.500000000000000000e+01,8.611637532985874941e+02,3.686027174001134199e+01,1.000000000000000000e+00,1.864102971553802490e+02
5.600000000000000000e+01,1.155625778851952418e+03,3.732880984561227677e+01,1.000000000000000000e+00,1.880181140899658203e+02
5.700000000000000000e+01,1.053270240535096946e+03,3.781364297626883086e+01,1.000000000000000000e+00,1.896205890178680420e+02
5.800000000000000000e+01,1.233955728922161370e+03,3.830567370510986080e+01,1.000000000000000000e+00,1.912205109596252441e+02
5.900000000000000000e+01,8.836689029732343670e+02,3.881681910822278780e+01,1.000000000000000000e+00,1.928417689800262451e+02
6.000000000000000000e+01,7.520391584643286933e+02,3.933667482542946914e+01,1.000000000000000000e+00,1.944398951530456543e+02
6.100000000000000000e+01,9.276418262698595072e+02,3.985709345724165331e+01,1.000000000000000000e+00,1.960404841899871826e+02
6.200000000000000000e+01,8.278592545857476352e+02,4.037125972112107775e+01,1.000000000000000000e+00,1.976353540420532227e+02
6.300000000000000000e+01,7.599917442727218031e+02,4.086826622299957990e+01,1.000000000000000000e+00,1.992347960472106934e+02
6.400000000000000000e+01,7.656207680050304134e+02,4.136495047978810646e+01,1.000000000000000000e+00,2.008375120162963867e+02
6.500000000000000000e+01,1.023070158067408670e+03,4.186481245036594601e+01,1.000000000000000000e+00,2.024525480270385742e+02
6.600000000000000000e+01,7.414661835951244484e+02,4.237183942212475785e+01,1.000000000000000000e+00,2.040771698951721191e+02
6.700000000000000000e+01,7.497049070633918291e+02,4.287010547069086641e+01,1.000000000000000000e+00,2.056787619590759277e+02
6.800000000000000000e+01,1.018478900610644132e+03,4.337900943042657786e+01,1.000000000000000000e+00,2.072757251262664795e+02
6.900000000000000000e+01,8.412141005738069452e+02,4.388318135194231218e+01,1.000000000000000000e+00,2.088794231414794922e+02
7.000000000000000000e+01,7.358823726910776486e+02,4.438107256552365953e+01,1.000000000000000000e+00,2.104944682121276855e+02
7.100000000000000000e+01,7.263414578129098800e+02,4.488374649294206620e+01,1.000000000000000000e+00,2.121622021198272705e+02
7.200000000000000000e+01,5.374714996347489659e+02,4.538673803914891636e+01,1.000000000000000000e+00,2.137704050540924072e+02
7.300000000000000000e+01,8.599403649107512138e+02,4.585499919136424296e+01,1.000000000000000000e+00,2.154033999443054199e+02
