Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Footnote
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_10,Between visit communication.,49,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_12,Attention to patient medication cost.,27,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_2,How well clinicians communicate.,86,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_3,Patients' rating of clinicians.,83,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_5,Health promotion and education.,59,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_8,Courteous and helpful office staff.,83,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,CAHPS_GRP_9,Clinicians working together for your care.,77,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_1,"Getting timely care, appointments, and information.",42,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_10,Between visit communication.,68,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_12,Attention to patient medication cost.,23,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_2,How well clinicians communicate.,75,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_3,Patients' rating of clinicians.,73,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_5,Health promotion and education.,55,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_8,Courteous and helpful office staff.,76,
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,CAHPS_GRP_9,Clinicians working together for your care.,74,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_1,"Getting timely care, appointments, and information.",56,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_10,Between visit communication.,68,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_12,Attention to patient medication cost.,20,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_2,How well clinicians communicate.,83,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_3,Patients' rating of clinicians.,79,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_5,Health promotion and education.,64,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_8,Courteous and helpful office staff.,79,
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,CAHPS_GRP_9,Clinicians working together for your care.,72,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_1,"Getting timely care, appointments, and information.",64,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_10,Between visit communication.,56,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_12,Attention to patient medication cost.,31,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_2,How well clinicians communicate.,85,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_3,Patients' rating of clinicians.,85,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_5,Health promotion and education.,57,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_8,Courteous and helpful office staff.,85,
CAROLINAEAST PHYSICIANS,0143378117,NC,CAHPS_GRP_9,Clinicians working together for your care.,76,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",62,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_10,Between visit communication.,53,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_12,Attention to patient medication cost.,16,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_2,How well clinicians communicate.,85,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_3,Patients' rating of clinicians.,80,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_5,Health promotion and education.,69,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_8,Courteous and helpful office staff.,82,
"NEWTON WELLESLEY AMBULATORY SERVICES, INC",0244133494,MA,CAHPS_GRP_9,Clinicians working together for your care.,78,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",47,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_10,Between visit communication.,58,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_12,Attention to patient medication cost.,25,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_2,How well clinicians communicate.,,8
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_3,Patients' rating of clinicians.,75,
