Organization legal name or 'doing business as' name,Group PAC ID,State,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Footnote,Reporting Mechanism,Reported on PC Live Site
GLEN BURNIE PHYSICAL THERAPY AND SPORTSCARE LLC,0042102592,MD,,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
GLEN BURNIE PHYSICAL THERAPY AND SPORTSCARE LLC,0042102592,MD,,PQRS_GRP_154_1,Falls: Risk Assessment,N,77,,REG,Y
GLEN BURNIE PHYSICAL THERAPY AND SPORTSCARE LLC,0042102592,MD,,PQRS_GRP_155_1,Falls: Plan of Care,N,88,,REG,Y
GLEN BURNIE PHYSICAL THERAPY AND SPORTSCARE LLC,0042102592,MD,,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,62,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,75,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,70,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,65,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,55,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,77,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,45,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,71,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,9,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,82,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,89,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,80,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,56,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,2,WI,Y
YOUNG REHAB COMPANY PC,0042107609,MI,,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
YOUNG REHAB COMPANY PC,0042107609,MI,,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,84,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,95,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,81,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,78,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,62,,WI,Y
